sensor_id,hour,date,hourly_avg
0a,1,2020-04-16,5.455
0a,1,2020-04-17,5.905
0a,1,2020-04-18,5.815
0a,1,2020-04-19,5.635
0a,1,2020-04-20,6.47
0a,1,2020-04-21,8.73
0a,1,2020-04-22,5.665
0a,1,2020-04-23,9.435
0a,1,2020-04-24,6.45
0a,1,2020-04-25,6.675
0a,1,2020-04-26,6.18125
0a,1,2020-04-27,6.75
0a,1,2020-04-28,6.53125
0a,1,2020-04-29,7.5375
0a,1,2020-04-30,6.0125
0a,1,2020-05-01,4.55
0a,1,2020-05-02,6.05
0a,1,2020-05-03,8.25
0a,1,2020-05-04,5.083333333333333
0a,1,2020-05-05,10.05
0a,1,2020-05-06,6.041666666666667
0a,1,2020-05-07,4.9
0a,1,2020-05-08,5.7375
0a,1,2020-05-09,5.9
0a,1,2020-05-10,4.925
0a,1,2020-05-11,5.875
0a,1,2020-05-12,5.575
0a,1,2020-05-13,5.294736842105263
0a,1,2020-05-14,11.85
0a,1,2020-05-15,13.225
0a,1,2020-05-16,27.225
0a,1,2020-05-17,21.96
0a,1,2020-05-18,23.12
0a,1,2020-05-19,8.385
0a,1,2020-05-20,5.495
0a,1,2020-05-21,5.34
0a,1,2020-05-22,7.01
0a,1,2020-05-23,6.12
0a,1,2020-05-24,5.38
0a,1,2020-05-25,6.24
0a,1,2020-05-26,13.795
0a,1,2020-05-27,11.155
0a,1,2020-05-28,7.42
0a,1,2020-05-29,10.84
0a,1,2020-05-30,9.52
0a,1,2020-05-31,5.035
0a,1,2020-06-01,5.255
0a,1,2020-06-02,6.068421052631579
0a,1,2020-06-03,6.6899999999999995
0a,1,2020-06-04,6.04
0a,1,2020-06-05,16.95
0a,1,2020-06-06,18.6875
0a,1,2020-06-07,6.5375
0a,1,2020-06-08,9.50625
0a,1,2020-06-09,21.375
0a,1,2020-06-10,15.24375
0a,1,2020-06-11,13.29375
0a,1,2020-06-12,20.8875
0a,1,2020-06-13,13.64375
0a,1,2020-06-14,5.95
0a,1,2020-06-15,4.56875
0a,1,2020-06-16,5.26875
0a,1,2020-06-17,8.08
0a,1,2020-06-18,15.13
0a,1,2020-06-19,7.285
0a,1,2020-06-20,7.075
0a,1,2020-06-21,20.325
0a,1,2020-06-22,7.91
0a,1,2020-06-23,5.97
0a,1,2020-06-24,6.68
0a,1,2020-06-25,16.395
0a,1,2020-06-26,6.035
0a,1,2020-06-27,8.205
0a,1,2020-06-28,23.145
0a,1,2020-06-29,29.62
0a,1,2020-06-30,13.925
0a,1,2020-07-01,7.38
0a,1,2020-07-02,4.78
0a,1,2020-07-03,5.465
0a,1,2020-07-04,5.5200000000000005
0a,1,2020-07-05,5.32
0a,1,2020-07-06,6.41
0a,1,2020-07-07,11.84
0a,1,2020-07-08,8.345
0a,1,2020-07-09,16.845
0a,1,2020-07-10,12.02
0a,1,2020-07-11,10.975
0a,1,2020-07-12,29.395
0a,1,2020-07-13,6.247368421052632
0a,1,2020-07-14,5.545
0a,1,2020-07-15,6.97
0a,1,2020-07-16,13.845
0a,1,2020-07-17,7.565
0a,1,2020-07-18,7.865
0a,1,2020-07-19,4.626315789473685
0a,1,2020-07-20,5.731578947368421
0a,1,2020-07-21,5.35
0a,1,2020-07-22,7.425
0a,1,2020-07-23,5.765
0a,1,2020-07-24,15.79
0a,1,2020-07-25,17.13
0a,1,2020-07-26,22.305
0a,1,2020-07-27,19.544999999999998
0a,1,2020-07-28,5.955
0a,1,2020-07-29,7.48
0a,1,2020-07-30,6.915
0a,1,2020-07-31,16.31
0a,1,2020-08-01,7.885
0a,1,2020-08-02,6.257894736842105
0a,1,2020-08-03,7.82
0a,1,2020-08-04,4.99
0a,1,2020-08-05,5.23
0a,1,2020-08-06,5.11
0a,1,2020-08-07,6.985
0a,1,2020-08-08,5.08
0a,1,2020-08-09,6.12
0a,1,2020-08-10,6.235
0a,1,2020-08-11,17.005
0a,1,2020-08-12,5.373684210526316
0a,1,2020-08-13,6.98
0a,1,2020-08-14,5.225
0a,1,2020-08-15,15.040000000000001
0a,1,2020-08-16,18.895
0a,1,2020-08-17,4.805
0a,1,2020-08-18,4.655
0a,1,2020-08-19,5.1850000000000005
0a,1,2020-08-20,5.73
0a,1,2020-08-21,4.98
